name,age,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,body_type,release_clause_eur,team_position,team_jersey_number,joined,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_league,likes,dislikes,follows,comments,minutes_played_overall,goals_overall,clean_sheets_overall
Roman Bürki,27,187,85,Switzerland,Borussia Dortmund,81,84,15000000,46000,Right,3,2,1,Normal,26600000.0,GK,1,01/07/2015,2021,,,,,,,86.0,78.0,73.0,85.0,50.0,76.0,15,8,17,37,13,12,13,12,24,23,44,54,49,78,52,22,74,36,74,14,35,18,10,50,20,58,11,13,16,86,78,73+1,76,85, German 1. Bundesliga (1),38.0,10.0,194.0,"['86', '87/88 he is getting better and better.', '87/87', 'Man of the match in Dortmund - Slavia Praha', '81/81', 'When Mandanda has 80 , Bürki should get max. 82', 'Mandanda got benched by Wayne Hennessey, shush', 'Better than that Nazi El-Habsi from Munich', 'beast', '86/86', '86/88', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2880,0,10
Benjamin Lecomte,27,186,78,France,Montpellier HSC,81,84,15000000,27000,Left,2,3,1,Normal,29600000.0,GK,40,01/07/2017,2021,,,,,,,81.0,76.0,79.0,82.0,42.0,81.0,13,11,10,17,10,11,20,19,21,23,44,40,36,78,25,18,62,34,55,10,23,24,10,41,20,63,17,11,12,81,76,79,81,82, French Ligue 1 (1),24.0,2.0,198.0,"['Good deal by Both Monaco & Montpellier', 'and for his career definitely.', 'welcome to monaco', '', 'Ne vien pas à l’OM  !', 'Welcome to Marseille', 'No thanks.(20M)', 'Upgrade for fucks sake', ""I don't understand why they downgraded his kicking, it should be 80 or more"", ""Would be a good keeper to get after Mandanda, but I feel like Reynet is an other option, and an easier one. But between the 2 I'd get Lecomte"", ""Il est extrêmement tributaire de sa défense aussi,le fait que Montpellier joue bloc bas dans une defense a 5 l'aide a briller car il est + amène a etre soliciter notamment sur sa ligne. Avec une défense bcq plus haute devant lui on peut avoir des surprises donc méfiance.."", ""Si on veut un gardien de haut niveau faut aller checker en Allemagne..C'est la meilleure école  en terme de Gardien.."", 'J’avoue qu’il y a mieux...', 'Pollersbeck 24 ans  (Hamburg) faut foncer il est excellent.Son équipe est amener a jouer haut avec un jeu de possesion donc ça fit avec nous  + plus value eventuel a la revente.', 'Je vien de voir quelques vidéos de lui, il est intéressant', ""Oui tres meme, il fait partit de cette nouvelle génération de gardien moderne. Champions d'Europe U21 lors du dernier euro espoir et avait été élu meilleur gardien du tournoi. Des légendes tel que Oliver Kahn l'on valide même."", 'Donc sa veut peut-être dire qu’il serait mieux que Timo Horn ?', ""Timo Horn est très bon également difficile a dire mais il est bcq moins accesible car très attaché a sa ville. Ce.sont vraiment les 2 gardiens qui peuvent postuler sérieusement derrière Ter Stegen a l'avenir en selection.Pollersbeck est loue par bcq de spécialistes et de média allemands.Profiter que Hamburg joue encore en 2nd division pour s'y intéresser a tant."", ""Non c'est en Italie la meilleure école en terme de gardien."", 'Ça joue avec Mandanda et ça vient faire la fine bouche devant lecomte... Vous êtes tarés les gars...']",3330,0,11
Jasper Cillessen,29,185,83,Netherlands,FC Barcelona,81,83,14500000,125000,Right,3,3,1,Normal,30800000.0,SUB,13,25/08/2016,2021,,,,,,,79.0,83.0,74.0,77.0,52.0,81.0,17,10,12,47,19,12,10,10,33,32,54,50,48,77,50,35,71,40,67,15,25,25,11,60,21,61,18,12,11,79,83,74,81,77, Spain Primera Division (1),33.0,1.0,172.0,"['77 79', '85/86', '85/85', '84/85', 'Fucking hell of a save', '80/80 not world class and not better than Neto he is an average keeper with a world class save very now and then but he also has a mistake every now and then.', '84/86 ', 'Still no face. Disgrace EA...', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",270,0,1
Thomas Strakosha,23,193,78,Albania,Lazio,80,87,15500000,34000,Right,1,2,1,Lean,29500000.0,GK,1,09/08/2012,2019,,,,,,,81.0,77.0,75.0,86.0,44.0,77.0,18,18,11,26,11,14,14,12,22,15,41,46,31,74,47,18,49,23,56,14,20,24,18,49,21,61,20,18,12,81,77,75,77,86, Italian Serie A (1),42.0,5.0,289.0,"['Nope, Handanovic and Szczesny are the best.', ""He's on par with Sirigu, Donnarumma, Cragno and Pau Lopez in my opinion at the second position"", 'Remove ""Rushes Out Of Goal"" since that is his Achilles\' heel, reflex 90 and 84/88', 'Criminally underrated', 'Better than gigio in my opinion', 'not rlly, Donnarumma is having a better season but Strakosha is surely underrated.', 'Where antonis lives', 'Fichaje realista para el Dortmund?', '84/88', '83/87', 'Noice', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",3150,0,10
Jeroen Zoet,27,189,88,Netherlands,PSV,80,83,12500000,16000,Right,2,4,1,Normal,18400000.0,GK,1,01/07/2009,2021,,,,,,,79.0,77.0,77.0,83.0,50.0,79.0,17,12,19,37,19,15,13,20,38,34,57,45,54,77,42,25,57,40,65,17,18,21,11,57,27,61,25,18,16,79,77,77,79,83, Holland Eredivisie (1),,,,,3060,0,16
Kevin Trapp,27,189,86,Germany,Eintracht Frankfurt,80,81,11500000,61000,Right,2,4,1,Normal,,GK,31,,2019,,,,,,,79.0,74.0,77.0,83.0,49.0,82.0,13,13,11,25,12,10,14,12,12,24,45,52,42,80,37,22,75,45,73,13,30,22,12,46,17,62,15,14,10,79,74,77,82,83, German 1. Bundesliga (1),32.0,3.0,232.0,"['Smart decision to leave PSG', 'Officially back in Frankfurt 5 year contract!', 'Frankfurt don’t want to meet his 10m price tag 🤦\u200d♂️🤦\u200d♂️', 'What a season', 'Porto?', 'Porto?', '78/79', 'Way to low', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",0,0,0
Miguel Ángel Moyá Rumbo,34,188,83,Spain,Real Sociedad,80,80,6000000,26000,Right,2,2,1,Normal,12600000.0,SUB,13,27/02/2018,2020,,,,,,,84.0,77.0,81.0,79.0,39.0,80.0,11,11,12,31,13,13,16,12,35,24,46,34,54,74,49,21,62,30,57,16,22,11,10,68,11,60,15,14,14,84,77,81,80,79, Spain Primera Division (1),9.0,1.0,62.0,"['', 'I copied this, but here you got your answer.', ""Thanks, but what exactly is the stopper's clause? Why is selling Inigo significant?"", ""I can't answer that, but Athletic Bilbao release that clause that was written in his contract, and I think because it was that late in on the last day, that Sociedad got a dispensation."", 'Thanks', 'Rulli is injured', 'to real sociedad for some reason', 'Because Gerónimo Rulli is bad', 'but how can he join after the window closed? I just saw Sociedad’s official facebook post a pic of Moya “already with us in Seville”, wondering how does this happen', ""Because of a traitor. Athletic Club's activation of traitor's release clause meant Real Sociedad were permitted to sign one more player in February."", ""You mean if a club had a player's contract terminated, they will be allowed to sign one more player, even after the window's closed?"", ""No Rulli is injured and Toño is pretty bad (but it's not his fault, this guy never plays)"", ""Yeah, exactly. But this thing may be only for LaLiga teams, I don't know."", ""I don't know why EA fucking give him a real face in FIFA 16 instead of Oblak..."", 'Him or Benoit Costil as backup GK in Bayern CM?', 'go time', ""Moya was my deadline day signing in the first window on my Manchester City career mode, he's lower rated than Hart but has replaced him, currently 81 rated coming up to the new year 👌"", ""I'm in the 3rd game of the first season and he's already 82... Lol"", 'Too good for the bench, but Oblak is too good as well moya should be loaned...', 'Recommended GK, he will grow to at least 83!']",990,0,2
Antonio Mirante,34,193,79,Italy,Roma,80,80,6000000,51000,Right,2,2,1,Lean,10200000.0,SUB,83,01/07/2018,2021,,,,,,,82.0,80.0,64.0,82.0,43.0,78.0,10,17,13,35,15,24,17,13,35,25,44,43,50,77,50,23,62,33,55,15,32,17,10,43,21,65,10,12,12,82,80,64,78,82, Italian Serie A (1),1.0,0.0,14.0,"['80/80', 'He’s a great gk ', '81 or also 82', 'Man retired at 41 in my Parma CM.', 'Amazing game in victory Vs Juve', '81-81', 'Good match better than Olsen', 'Today he gave Genoa a goal', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",990,0,6
Diego López Rodríguez,36,196,89,Spain,RCD Espanyol,80,80,2000000,17000,Right,3,3,1,Lean,4200000.0,GK,13,01/07/2017,2020,,,,,,,75.0,81.0,74.0,76.0,44.0,81.0,11,12,10,28,14,11,10,11,23,23,34,52,48,78,47,22,68,42,66,11,36,16,11,53,21,62,16,13,14,75,81,74,81,76, Spain Primera Division (1),12.0,1.0,51.0,"['At least 83', '80. Not what he used to be.', 'Was supposed to be the Milan No. 1 and then some kid named gigio came along...', 'Hope you get out from serious head injury :(', 'My XI of the week number 21:', '', 'Diego López (Espanyol)', 'Valencia (Manchester United)', 'Koscielny (Arsenal)', 'Ginter (Borussia Monchengladbach)', 'Marcelo (Real Madrid)', 'Milinkovic-Savic (Lazio)', 'Kessie (Milan)', 'Di Maria (PSG)', 'Bailey (Bayer Lervekusen)', 'Quagliarella (Sampdoria)', 'Aguero (Manchester City)', 'alucino....  justo le bajan despues de un partidazo parando un penalti al enano hormonado', 'Jajajaja el insulto re fuera de lugar del final', '81']",3420,0,10
Igor Akinfeev,32,186,78,Russia,PFC CSKA Moscow,80,80,8500000,1000,Right,3,3,1,Normal,18700000.0,GK,35,01/01/2002,2022,,,,,,,77.0,72.0,78.0,84.0,50.0,82.0,19,13,18,23,10,15,19,13,22,22,51,50,53,71,45,24,62,35,72,13,24,17,11,59,10,67,18,13,13,77,72,78,82,84, Russian Premier League (1),17.0,2.0,56.0,"['84/84 Legendary goalkeeper he prouve that (Maybe 85 overall)', '200 invicible matches in Russian League .', '260 invicible matches in all competitions ', 'Soon he can beat Dasaev and Yashin ', 'Best goalkeeper for a invicible matches this season: 16 ', 'Series of 423 minutes for a invicible matches ', 'Season 2018/2019', 'https://www.youtube.com/watch?time_continue=52&v=M55QD7q9Y5E', 'Was 86 rated in Fifa 08', ""Don't worry now he is high class goalkeeper too, just he is underrated"", '80 hahahah 83 +', 'More diving', 'He has retired from the NT 2 months ago. Why is he still on it?', 'Because of lazy editors, I guess', '83|83', 'Maybe 83/83 in FIFA 19', '82/82', 'Is he really 6\'1""? Modric is 5\'7"" and Akinfeev looked about 5\'9"" standing next to him...', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts""]",2700,0,16
Tom Heaton,32,187,92,England,Burnley,80,80,8500000,48000,Right,2,3,1,Normal,16200000.0,SUB,1,01/07/2013,2020,,,,,,,80.0,80.0,75.0,82.0,55.0,80.0,17,12,16,32,12,17,15,13,37,28,56,55,54,73,52,14,73,40,66,12,31,24,12,46,24,62,16,15,13,80,80,75,80,82, English Premier League (1),11.0,2.0,34.0,"['how on earth has he been downgraded after being injured for 2 weeks? absolutely ridiculous ', 'Extraordinary', '9 mio for him. bruh', ""He's worth it tho. Still a good goalkeeper. Good signing for Villa"", 'Heaton is good enough to keep Villa up on his own. ', ""He's going to Aston Villa "", ""Wonder who Southgate will choose to be 1st choice for the upcoming matches. There's been no real stand-out performers; all our GK's have been pretty inconsistent lately. I assume he'll go with Pickford because of his distribution, but I seriously feel like Heaton deserves a chance. Obviously the result against Liverpool doesn't flatter him, but he's produced some really good displays, and has done well coming back from such a bad injury at his age to get to the level he was at before."", 'At least 80/80.', 'Burnleys best Goalkeeper without any doubt and in Nick Pope they have a great replacement in a couple of years. Joe Hart was a waste of money!', '3m isnt much', '83/83', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",1710,0,4
Łukasz Fabiański,33,190,83,Poland,West Ham United,80,80,7500000,65000,Right,2,2,1,Normal,14300000.0,GK,1,20/06/2018,2021,,,,,,,78.0,83.0,70.0,84.0,48.0,79.0,14,13,11,20,17,14,18,12,32,22,50,47,52,71,44,14,68,25,65,20,43,16,15,52,22,63,14,12,13,78,83,70,79,84, English Premier League (1),17.0,1.0,45.0,"['84/84, the best keeper to ever play for Swansea and the same for West Ham now too.', '84/84', 'I think EA has some personal problems with polish players because the ratings this year are a joke', 'Like who?', 'What a match against Austria! ', '84/84 at least ', '85/85 by now his stats are unbelivable', 'Fabiański > Szczęsny imho', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",3420,0,7
Sergio Germán Romero,31,192,87,Argentina,Manchester United,80,80,9000000,91000,Right,3,3,1,Normal,16700000.0,RES,22,27/07/2015,2021,,,,,,,78.0,76.0,81.0,82.0,45.0,77.0,11,14,12,39,17,12,12,13,48,40,47,44,52,78,44,14,63,35,75,11,33,21,11,55,16,62,14,11,15,78,76,81,77,82, English Premier League (1),19.0,7.0,111.0,"['', 'YES IAM TALKING ABOUT THE CAR sry caps ', 'Was involved in a pretty bad crash and apparently he has no injuries...', '76/76', 'Dumb faggot ', 'Is he still good enough for the Argentina NT?', 'YES', 'So underrated. 30 Cleansheets in 49 Appearences. We are so lucky to have a quality backup GK who is willing to be just a backup. ', '82/82', '82-83/82-83', '82/82', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",0,0,0
Sven Ulreich,29,192,84,Germany,FC Bayern München,80,80,10000000,61000,Right,2,3,1,Lean,16500000.0,SUB,26,01/07/2015,2021,,,,,,,79.0,72.0,69.0,86.0,40.0,80.0,14,12,8,41,13,13,12,15,38,22,41,40,34,79,39,24,66,29,41,11,25,14,8,42,22,45,16,18,14,79,72,69,80,86, German 1. Bundesliga (1),14.0,4.0,53.0,"['can we please get a better back up', '', 'in terms of skills he is fine, but we need a young keeper who will take neuers place, we dont seem to be willing to give fruchtl a chance for some gay reason', 'Fruchtl gay?', 'Congrats on the national team call up', 'That has to be the most random decision ever', 'This man doesn’t want Bayern to sign Nubel because he thinks Nubel “wouldn’t like to be number two”. When obviously he just does not want to be demoted to 3rd GK. Lol', '+2 agility was all what he needed. Thanks EA', 'How expensive would he be IRL to transfer?', '79/79', 'He should be given a chance to start. At least on league cup matches.', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",757,0,2
Loris Karius,25,189,87,Germany,Beşiktaş JK,79,83,11500000,71000,Right,2,3,1,Normal,,GK,1,,2020,,,,,,,82.0,74.0,78.0,82.0,54.0,76.0,14,18,14,38,14,16,12,14,41,23,55,54,51,75,43,20,74,36,64,16,21,13,8,50,19,60,9,11,13,82,74,78,76,82, Turkish Süper Lig (1),77.0,23.0,472.0,"['go back to mainz lol', 'Avcıyı istemeyenlerden olduğunu bu maçta gördük', '76/80', '', ""He'd actually be good if he wouldn't be so unfocused."", 'RIP a homie...', ""His display picture, really he's been through a lot"", 'This guy is actually shit 75-76 at most', 'https://ibb.co/f4ScNTd', 'Bu adamla yola çıkılmaz bu adamla bir takımın şampiyon olması imkansıza yakın bu adam bir çöp ve kova bu adamı bu takıma alan kim varsa allah belasını versin beşiktaş tarihindeki en kötü kalecilerden top 5e girer bu adama iyi diyen futbol cahilidir bu adamla seneye sözleşme imzalayan takıma ihanet eder bu adama iyi diyen scoutjk sen bir futbol cahilisin.', 'Bu adam için yazdıklarımı ve tüm yazacaklarımı buraya sıraladım bir daha uğraşmak istemiyorum.', ""bu kulüp cordoba dışında her zaman kova kaleciler aldı. galatasaray muslera'yla kaç kupa aldı görüyoruz. kalecinin önemi..."", 'Fabriye haksızlık etmek istemiyorum yine de. En azından aidiyet duygusu vardı. ', 'diğerlerine göre bi tık daha iyiydi ama lyon ve fenerbahçe maçlarında yaptıklarından sonra iyi kaleci statüsüne koyamıyorum.', 'Haklısın', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",0,0,0
Mathew Ryan,26,184,82,Australia,Brighton & Hove Albion,79,81,10500000,41000,Right,1,4,1,Normal,20700000.0,GK,1,01/07/2017,2022,,,,,,,80.0,74.0,84.0,83.0,52.0,78.0,23,11,14,40,15,13,23,12,45,24,53,52,53,73,50,35,78,34,68,18,36,23,10,68,25,64,10,20,17,80+2,74,84,78+1,83+3, English Premier League (1),42.0,2.0,279.0,"['Feel free to check out my Asian All-Star squad, if you have any suggestions let me know. Cheers.', 'https://sofifa.com/squad/519676', 'Due an upgrade soon. Also reckon he deserves a move to a bigger club.', 'I have the impression that this guy has been forever young', 'FOREVER YOUNG?', '', 'I want to be forever young', 'Do you really want to live forever?', 'Forever, and ever', '/gamemode 1', 'Creeper, aw man...', 'Beiranvard the best keeper atm sorry mate', ""had a good tourney though, i'd argue even if the UAE go on to win it ryan would still be gk of the tourney."", 'I dont think him or khaled eisa will win, it gotta be irans gk , hes top notch but i told u months ago uae were gna  beat u idc how ( yes i know the team plays defensive , catenaccio shit) but it worked and now uae in semis thankfully', ""worst defeat in the socceroos history in the worst afc performance ever, just down right dreadful. worst thing is Graham Arnold is still gonna keep his job after a competition where he scored against 2 outta 5 teams. i don't even care ifn he is the best option and what not i'm honestly embarrassed for him right now and i am sure no one is in favor of him."", 'I dont think its the worst defeat , u uad worse against jordan . I think 2007cup  could be call the worst but that was u guys didnt have the exp yet but i knew arnie ball was gonna be succesful. Australia still relying on that kick and rush method and players coming on bench couldnt chnage meaning cahill relied heavily under several managers. But its good u got players like awer manil and ikionomdis who were neeeded at worst moments', ""it's the worse defeat cause of the way the loss was dealt and what level of the competition it was. not as though jordan didn't have luck (ryan had what was a good save go right back to the opposition from a corner) but degenek playing well to that point, just for fuck sake it's so bullshit."", 'Yes , you made it and lost 4-0', 'Which is the worst defeat', 'Qatar bought the Asian Cup and you know it']",3060,0,6
Marko Dmitrović,26,194,90,Serbia,SD Eibar,79,80,10000000,21000,Left,1,2,1,Normal,21800000.0,GK,1,01/07/2017,2021,,,,,,,74.0,79.0,78.0,79.0,37.0,81.0,30,20,20,40,20,8,20,9,40,9,39,35,32,73,37,40,45,45,79,17,20,17,9,45,9,59,19,22,20,74,79,78,81,79, Spain Primera Division (1),3.0,0.0,25.0,"['98/106', 'Easily 82/84 ', '82/84', 'really good against portugal', 'What an amazing game against Germany.', ""Agreed, had a fantastic game against Germany.  Easily Serbia's best GK at the moment."", 'Vanja MS is good too, but Dmitrovic is better atm', 'Underrated Keeper should be 81/83', 'Fantastic keeper', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2160,0,5
Asmir Begović,31,199,83,Bosnia Herzegovina,Bournemouth,79,79,7500000,52000,Right,3,2,1,Lean,14300000.0,GK,27,30/05/2017,2020,,,,,,,80.0,80.0,72.0,79.0,55.0,77.0,14,19,12,26,12,16,17,15,32,24,52,58,52,74,40,28,38,36,80,12,42,21,11,34,40,61,18,11,12,80,80,72,77,79, English Premier League (1),13.0,3.0,113.0,"['73/73', 'How can someone drop from Prem to Azeri League?!? ', 'As an Azeri I know how shit our league is!! Did anyone want him from Championship or even Turkey?', 'Qarabagh is a huuuge drop imo', 'I think Qarabag was the only team willing to pay his wages.  I heard that Begovic got into a few disagreements with management and the players at Bournemouth.  He still has one more year to go on his deal after this season.', 'Lmaooo', 'Been one of the worst goalkeepers in the prem this season. Can see him getting sold this summer', 'Must feel shit losing his place to 39 y.o. Boruc', '77/77 atm', 'Upgrade!! Been playing well recently', 'I had no Idea he was Canadian and he actually played for us for a while before choosing to represent Bosnia', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",2160,0,5
Simon Mignolet,30,193,87,Belgium,Liverpool,79,79,8000000,76000,Right,3,2,1,Normal,14800000.0,SUB,22,25/06/2013,2021,,,,,,,80.0,74.0,64.0,83.0,51.0,76.0,11,11,16,37,16,14,16,12,34,26,50,52,34,74,52,45,69,31,72,16,34,21,14,43,41,61,7,14,16,80,74,64,76,83, English Premier League (1),16.0,5.0,57.0,"['', ""He's an absolutely brilliant goal keeper. If you look at the results you know that Brugge dominate the league almost as much as Liverpool are now thanks to his service. It is safe to say that Allison is just a Brazilian Mignolet."", '79/79 already is a joke, the goals he suffers are 50% his mistakes, the defense covers up for him a lot. Other goalkeepers in the league need seasons to get their deserved upgrades. ', ""Are you sure you're talking about Mignolet?"", ""Let him hate he's probably an Anderlecht fan "", 'was that an attempt to be funny?', ""He's the missing link to this Brugge team. Has been rock solid."", '', '80/80 would be fair for now.', ""Give the man an upgrade, he's been brilliant all season. 80/80"", ""Crucial mistake to the goal, backlines can't trust him which has always been the issue with him. 76/76 would be fair."", ""you're a retard to be fair."", 'not a good moment to leave liverpool i guess xd', ""He wouldn't have been in goal, Klopp hated him."", 'Amignolet amignolet amignolet amignolet 🎶🎶🎶🎺🎻🎼🎼🎼🎼', 'Good luck Simon, top professional and top lad as well', '3. Who deleted/removed my comment?\nThe site manager, page mod and squad/shortlist creator could approve or delete/remove comments.', ""4. You could block a user from the user's profile, the user will not get notified when you block them.\nAfter you've blocked a user, they cannot:\n• Send you any notifications\n• See your posts"", '© 2009 - 2020 Powered by SoFIFA.com. FIFA series and all FIFA assets are property of EA Sports.\nTerms Privacy Contact us at team@sofifa.com']",0,0,0
Claudio Andrés Bravo Muñoz,35,184,80,Chile,Manchester City,79,79,3000000,56000,Right,3,3,1,Normal,5500000.0,RES,1,25/08/2016,2020,,,,,,,79.0,79.0,85.0,79.0,56.0,75.0,12,13,18,56,11,22,25,38,54,41,58,54,63,73,62,22,81,41,69,17,40,23,16,69,23,64,15,18,19,79,79,85,75,79, English Premier League (1),19.0,6.0,84.0,"['', 'Retire, or go back to Chile.', 'perro culiaoo!!', 'What the fuck is a culiao?', ""at this point, I just feel sorry for him.  I've seen high school goaltenders with better decision making abilities than him.  "", '', 'HANG IT UP BRO', 'Such a shite keeper, people considered him alright back in Barca because he was covered by good defenders, would rather have Karius over this joke, 72/72', '74/74', '75/75 para la mls esta', '73/73', '', 'Steffen should be the back up, not him. Hes so bad now.', 'Calla, imbécil malagradecido', 'Callate chilechango ', 'Lil hijo de mil putas!!!', 'Jaja callate pinche mandolin. Ya chupa Los huevos de este portero culero', 'Brexit means Brexit', '0 positioning', '']",0,0,0
Orestis Karnezis,32,190,81,Greece,Napoli,79,79,7000000,48000,Right,2,3,1,Normal,11900000.0,GK,27,06/07/2018,2021,,,,,,,80.0,78.0,72.0,81.0,39.0,77.0,19,16,24,22,14,15,11,11,36,23,44,34,45,75,49,22,64,33,66,18,18,23,10,47,21,60,20,15,24,80,78,72,77,81, Italian Serie A (1),4.0,0.0,24.0,"['77/77', 'Why the hell is he rated so high???i knew that a lot of players in italy are overrated but this is crazy.', 'We have at least four Greek goalkeepers that are better him(Vlachodimos,Paschalakis,Barkas,Gianniotis) so i guess these four should be rated over 80??', 'Someone to tell this to the editor of Napoli or just fire him!', 'Best keeper Napoli had since they returned in Serie A and this is comming from a Milan fan.', '😂 😂', 'And this is coming from a greek. He is shit and we have 2 begter keepers than him', 'All 3 of them are average, but at least Meret is italian and young.', 'Karnezis may be average but he is for sure error prone as ospina', 'Lol no', 'They always had lame keepers, Andujar, Reina, De Sanctis, Ospina, Gabriel.', 'Ospina has been great this season', 'Andujar, Reina, De Sanctis, Ospina lame keepers?! Wake up man', 'Welcome to Napoli', 'Napoli.', 'I saw them being closely linked to areola, karnezis and meret but who will they sign?', 'They bought both Karnezis and Meret now', 'Confirmed?', 'Yeah', 'Karnezis or meret to start?']",810,0,4
